Verified,Image,Recipe,Required Materials,Recipe Source,Customizable,Category,Sell Price
0,https://dodo.ac/np/images/thumb/9/91/Flimsy_Net_NH_Icon.png/30px-Flimsy_Net_NH_Icon.png,Flimsy Net,5xTree Branch, Tom Nook (after giving first Fish or Bug),No,Tools,100
0,https://dodo.ac/np/images/thumb/5/5b/Net_NH_Inv_Icon.png/30px-Net_NH_Inv_Icon.png,Net,1xFlimsy Net|1xIron Nugget,Pretty Good Tools Recipes Pack (Nook Stop),Yes,Tools,600
0,https://dodo.ac/np/images/thumb/a/a9/Golden_Net_NH_Inv_Icon.png/30px-Golden_Net_NH_Inv_Icon.png, Gold Net,1xNet|1xGold Nugget,Complete Bug Critterpedia (receive in mail),No,Tools,10000
0,https://dodo.ac/np/images/thumb/a/a1/Flimsy_Fishing_Rod_NH_Icon.png/30px-Flimsy_Fishing_Rod_NH_Icon.png,Flimsy Fishing Rod,5xTree Branch, Tom Nook (Resident Services),No,Tools,100
0,https://dodo.ac/np/images/thumb/2/22/Fishing_Rod_NH_Inv_Icon.png/30px-Fishing_Rod_NH_Inv_Icon.png,Fishing Rod,1xFlimsy Fishing Rod|1xIron Nugget,Pretty Good Tools Recipes Pack (Nook Stop),Yes,Tools,600
0,https://dodo.ac/np/images/thumb/3/30/Golden_Fishing_Rod_NH_Inv_Icon.png/30px-Golden_Fishing_Rod_NH_Inv_Icon.png, Gold Fishing Rod,1xFishing Rod|1xGold Nugget,Complete Fish Critterpedia (receive in mail),No,Tools,10400
0,https://dodo.ac/np/images/thumb/7/76/Flimsy_Axe_NH_Icon.png/30px-Flimsy_Axe_NH_Icon.png,Flimsy Axe,5xTree Branch|1xStone, Tom Nook (after giving 2nd Fish or Bug)| Nook's Cranny,No,Tools,200
0,https://dodo.ac/np/images/thumb/9/93/Stone_Axe_NH_Inv_Icon.png/30px-Stone_Axe_NH_Inv_Icon.png,Stone Axe,1xFlimsy Axe|3xWood,Pretty Good Tools Recipes Pack (Nook Stop),No,Tools,560
0,https://dodo.ac/np/images/thumb/c/c6/Axe_NH_Inv_Icon.png/30px-Axe_NH_Inv_Icon.png,Axe,1xFlimsy Axe|3xWood|1xIron Nugget,Pretty Good Tools Recipes Pack (Nook Stop),Yes,Tools,625
0,https://dodo.ac/np/images/thumb/0/0b/Golden_Axe_NH_Inv_Icon.png/30px-Golden_Axe_NH_Inv_Icon.png, Gold Axe,1xAxe|1xGold Nugget,Break 100 Axes,No,Tools,10655
0,https://dodo.ac/np/images/thumb/e/ea/Flimsy_Shovel_NH_Icon.png/30px-Flimsy_Shovel_NH_Icon.png,Flimsy Shovel,5xHardwood, Blathers| Nook's Cranny,No,Tools,200
0,https://dodo.ac/np/images/thumb/1/17/Shovel_NH_Inv_Icon.png/30px-Shovel_NH_Inv_Icon.png,Shovel,1xFlimsy Shovel|1xIron Nugget,Pretty Good Tools Recipes Pack (Nook Stop),Yes,Tools,600
0,https://dodo.ac/np/images/thumb/4/41/Golden_Shovel_NH_Inv_Icon.png/30px-Golden_Shovel_NH_Inv_Icon.png, Golden Shovel,1xShovel|1xGold Nugget, Gulliver (help him 30 times),No,Tools,10675
0,https://dodo.ac/np/images/thumb/5/51/Flimsy_Watering_Can_NH_Icon.png/30px-Flimsy_Watering_Can_NH_Icon.png,Flimsy Watering Can,5xSoftwood, Tom Nook (after giving 4 Fish or Bugs)| Nook's Cranny,No,Tools,200
0,https://dodo.ac/np/images/thumb/6/61/Watering_Can_NH_Inv_Icon.png/30px-Watering_Can_NH_Inv_Icon.png,Watering Can,1xFlimsy Watering Can|1xIron Nugget,Pretty Good Tools Recipes Pack (Nook Stop),Yes,Tools,600
0,https://dodo.ac/np/images/thumb/7/73/Golden_Watering_Can_NH_Inv_Icon.png/30px-Golden_Watering_Can_NH_Inv_Icon.png, Gold Watering Can,1xWatering Can|1xGold Nugget,5-Star Island Rating,No,Tools,10675
0,https://dodo.ac/np/images/thumb/f/fb/Slingshot_NH_Inv_Icon.png/30px-Slingshot_NH_Inv_Icon.png,Slingshot,5xHardwood, Nook's Cranny,Yes,Tools,225
0,https://dodo.ac/np/images/thumb/f/f6/Golden_Slingshot_NH_Inv_Icon.png/30px-Golden_Slingshot_NH_Inv_Icon.png, Golden Slingshot,1xSlingshot|1xGold Nugget,Pop 300  Balloons (receive in mail or pop Gold Balloon),No,Tools,10300
0,https://dodo.ac/np/images/thumb/c/c2/Vaulting_Pole_NH_Inv_Icon.png/30px-Vaulting_Pole_NH_Inv_Icon.png, Vaulting Pole,5xSoftwood, Blathers| Nook's Cranny,No,Tools,600
0,https://dodo.ac/np/images/thumb/e/e2/Ladder_NH_Inv_Icon.png/30px-Ladder_NH_Inv_Icon.png, Ladder,4xWood|4xHardwood|4xSoftwood, Tom Nook| Nook's Cranny,No,Tools,1440
0,https://dodo.ac/np/images/thumb/b/ba/Wand_NH_Inv_Icon.png/30px-Wand_NH_Inv_Icon.png, Star Wand,3xStar Fragment|1xLarge Star Fragment, Celeste,No,Tools,6500
0,https://dodo.ac/np/images/thumb/8/8a/Iron_Wand_NH_Icon.png/30px-Iron_Wand_NH_Icon.png, Iron Wand,3xIron Nugget|3xStar Fragment, Celeste,No,Tools,3750
0,https://dodo.ac/np/images/thumb/c/ce/Golden_Wand_NH_Icon.png/30px-Golden_Wand_NH_Icon.png, Golden Wand,2xGold Nugget|3xStar Fragment, Celeste,No,Tools,20750
0,https://dodo.ac/np/images/thumb/9/94/Cosmos_Wand_NH_Icon.png/30px-Cosmos_Wand_NH_Icon.png, Cosmos Wand,1xWhite Cosmos|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/0/0d/Hyacinth_Wand_NH_Icon.png/30px-Hyacinth_Wand_NH_Icon.png, Hyacinth Wand,1xPink Hyacinth|3xStar Fragment, Celeste,No,Tools,1660
0,https://dodo.ac/np/images/thumb/1/12/Lily_Wand_NH_Icon.png/30px-Lily_Wand_NH_Icon.png, Lily Wand,1xWhite Lily|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/6/64/Mums_Wand_NH_Icon.png/30px-Mums_Wand_NH_Icon.png, Mums Wand,1xYellow Mum|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/f/f6/Pansy_Wand_NH_Icon.png/30px-Pansy_Wand_NH_Icon.png, Pansy Wand,1xYellow Pansy|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/b/b8/Rose_Wand_NH_Icon.png/30px-Rose_Wand_NH_Icon.png, Rose Wand,1xRed Rose|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/f/ff/TulipWand_NH_icon.png/30px-TulipWand_NH_icon.png, Tulip Wand,1xRed Tulip|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/c/cb/Windflower_Wand_NH_Icon.png/30px-Windflower_Wand_NH_Icon.png, Windflower Wand,1xOrange Windflower|3xStar Fragment, Celeste,No,Tools,1580
0,https://dodo.ac/np/images/thumb/c/cb/Tree-Branch_Wand_NH_Icon.png/30px-Tree-Branch_Wand_NH_Icon.png, Tree-Branch Wand,5xTree Branch|3xStar Fragment, Celeste,No,Tools,1550
